y_sigma_n,z_mbb_sigma,w_num_bands_mbb,Mean_Value,Best_Cost
4.06011723,7.92742026019958,7.947123658804069,[84.34650283],0
3.64532621,2.2176737317061628,2.25496086597125,[84.34559961],0
6.37573827,6.2214580077658805,6.981952730660883,[84.09144987],0
7.61724061,7.642608741902586,7.243681491907612,[84.09345041],0
7.34232673,3.0202333887754094,5.390233349781237,[84.09290348],0
6.37573827,6.2214580077658805,6.981952730660883,[84.09144987],0
10.0,5.8694533080650455,6.279005648297316,[84.09746062],0
9.23823218,4.541571838596808,10.0,[84.09619228],0
6.37573827,6.2214580077658805,6.981952730660883,[84.34918674],0
0.0,0.0,0.0,0,[84.09144987]
